query,Review URL,Extracted Vendor,Number of Reviews,Average Stars,Number of 1 Star Reviews,Number of 2 Stars Reviews,Number of 3 Stars Reviews,Number of 4 Stars Reviews,Number of 5 Stars Reviews,Name,Number of Stars,Comment,Time,Owner Response,Owner Response Time,API URL
14 Hills,"https://www.google.com/maps/place/14+Hills/@53.800651,-4.064941,6z/data=!3m1!4b1!4m5!3m4!1s0x4876050f6e3ee4c7:0xc805c661e3e7ddfe!8m2!3d51.512273!4d-0.0808058",14 Hills,794,4.3,49,38,65,154,488,Paola Cops,5,"Brunch at the top of the hills. Amazing view of London. You are very close to Tower Bridge,  the Shard and The Sky garden. The staff are polite and professional. Highly recommended If you want to live  a wonderful emotion.",2022-05-24 22:29:46,"Dear Paola,Thank you for the wonderful review and for taking the time to share your feedback with us. Our priority is customer service, and we are ecstatic that we met that mark!Hope to see you soon.Martina",2022-05-24 17:39:24,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=uk&pb=!1m2!1y5221366381814932679!2y14413144306206891518!2m2!1i10!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sdbjbYsMZj9uBBqfYgugE!7e81
14 Hills,"https://www.google.com/maps/place/14+Hills/@53.800651,-4.064941,6z/data=!3m1!4b1!4m5!3m4!1s0x4876050f6e3ee4c7:0xc805c661e3e7ddfe!8m2!3d51.512273!4d-0.0808058",14 Hills,794,4.3,49,38,65,154,488,Marke Campbell,5,"I was pretty much captured and pleasantly surprised , all by the lovely souls that treated me for my birthday here and as to how lovely the staff were.This is a place to celebrate not just a birthday but for all of those good milestones in life ,the food was a blessing upon your palette. The very kind and courteous warm nature of the staff is what makes any establishment of this nature work well , with 14 Hills I can say that this was above the norm and appreciated immensely.Great music that does not overwhelm your conversation and at the same time blesses you with a good atmosphere, this pretty much is a lovely precursor to being able to enjoy the view after your meal on the very top of the building . Seeing the sun grace the sky across the city of London above the restaurant is one to remember , all of this in the midst of calm relaxed conversations all round .Thank you also to the lovely French Senegalese who was very attentive and displayed a huge bout of kindness within her role.Bless you  Mr M Campbell",2022-07-07 00:57:52,"Dear Mr Campbell,Thank you for taking the time to leave us a review and share your feedback. Our priority at 14 Hills is customer service, and we continuously work to create good experiences for our guests.Hope to see you soon.Kindest regards,Federica",2022-07-12 15:23:42,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=uk&pb=!1m2!1y5221366381814932679!2y14413144306206891518!2m2!1i10!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sdbjbYsMZj9uBBqfYgugE!7e81
14 Hills,"https://www.google.com/maps/place/14+Hills/@53.800651,-4.064941,6z/data=!3m1!4b1!4m5!3m4!1s0x4876050f6e3ee4c7:0xc805c661e3e7ddfe!8m2!3d51.512273!4d-0.0808058",14 Hills,794,4.3,49,38,65,154,488,Lao Karun,5,"We came for a birthday brunch and the experience was delightful!The first thing that hits you is the atmosphere. Words fail me (which is pretty bad considering this is a review after all) but the best I can give you is instagram-able! In fact I found a few parties doing just that, taking a few snaps.The staff are very good, friendly and attentive. The food tastes as good as it looks and they had a decent selection of drinks.My highlight was the French toast which as you can see was a decent size considering the main. Fluffy and we'll balanced with the apricot compote and honeycomb 🍯 😊I Highly recommend!",2021-09-23 16:52:09,"Dear Lao,Thank you for such a wonderful feedback! We are absolutely thrilled that you had such a fantastic time with us!We hope to be welcoming you back soon again at 14 Hills and prmose to save some of that amzing French toast for you :)Best wishes14 hills Team",2021-09-23 19:33:08,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=uk&pb=!1m2!1y5221366381814932679!2y14413144306206891518!2m2!1i10!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sdbjbYsMZj9uBBqfYgugE!7e81
14 Hills,"https://www.google.com/maps/place/14+Hills/@53.800651,-4.064941,6z/data=!3m1!4b1!4m5!3m4!1s0x4876050f6e3ee4c7:0xc805c661e3e7ddfe!8m2!3d51.512273!4d-0.0808058",14 Hills,794,4.3,49,38,65,154,488,Garth S,4,"Amazing views and the bar is really nice to sit have have a few drinks.Food is very good, went for brunch. Nice atmosphere and service.Tad pricey due to locations and views.",2021-12-19 12:37:32,"Dear Garth,Thank you kindly for your wonderful feedback!We are pleased you had a lovely brunch with us and we cannot wait to be welcoming you back soon!Have a lovely Christmas!Best wishesMartyna",2021-12-21 18:54:46,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=uk&pb=!1m2!1y5221366381814932679!2y14413144306206891518!2m2!1i10!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sdbjbYsMZj9uBBqfYgugE!7e81
14 Hills,"https://www.google.com/maps/place/14+Hills/@53.800651,-4.064941,6z/data=!3m1!4b1!4m5!3m4!1s0x4876050f6e3ee4c7:0xc805c661e3e7ddfe!8m2!3d51.512273!4d-0.0808058",14 Hills,794,4.3,49,38,65,154,488,Asheesh Gohil,5,"The food, the experience and especially the view all came together to make a memorable dinner date!Food is outrageously tasty and worth every penny. Can’t wait to try the rooftop garden which sadly was sealed off upon our visit. I initially booked for that reason but they made up for the disappointment with a great view, impeccable service and yummy food.",2021-08-18 18:47:48,"Dear Asheesh,Thank you for your recent visit 14 hills and for you wonderful feedback!We very much looking forward to welcoming you back any time soon at 14 Hills!Best wishesMartyna",2021-08-19 17:08:17,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=uk&pb=!1m2!1y5221366381814932679!2y14413144306206891518!2m2!1i10!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sdbjbYsMZj9uBBqfYgugE!7e81
14 Hills,"https://www.google.com/maps/place/14+Hills/@53.800651,-4.064941,6z/data=!3m1!4b1!4m5!3m4!1s0x4876050f6e3ee4c7:0xc805c661e3e7ddfe!8m2!3d51.512273!4d-0.0808058",14 Hills,794,4.3,49,38,65,154,488,David,3,"Reasonably diverse menu for Sunday brunch, very attentive service, delicious and beautifully served cocktails. Definitely Instagram-friendly place in North London.Food wise still not that convincing for the price level.I’ve opted for the butternut risotto which was “ok” but still for the presentation of the place (and the price) I’d expect more exciting gastronomic experience.Service - 5/5Food - 3/5Ambience - 4/5",2021-12-05 18:14:29,"Dear David,Thank you kindly for your feedback; We are pleased to learn that that you enjoyed the service, cockatils and the ambience, however sorry to learn that the risotto dish was not to your liking;Your comments have been passed on to the team and will be looked into it accordingly!Best wishesMartyna",2021-12-07 18:21:41,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=uk&pb=!1m2!1y5221366381814932679!2y14413144306206891518!2m2!1i10!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sdbjbYsMZj9uBBqfYgugE!7e81
14 Hills,"https://www.google.com/maps/place/14+Hills/@53.800651,-4.064941,6z/data=!3m1!4b1!4m5!3m4!1s0x4876050f6e3ee4c7:0xc805c661e3e7ddfe!8m2!3d51.512273!4d-0.0808058",14 Hills,794,4.3,49,38,65,154,488,Mark Blount-Stonham,5,"We had our summer party here and it was excellent. There's a nice roof garden, fabulous cocktails and a lovely vibe.",2022-07-07 17:31:58,"Dear Mr Blount-Stonham,Thank you for the wonderful review and for taking the time to share your feedback with us. Our priority is customer service, and we are ecstatic that we met that mark!Kind guests like you make our job a pleasure.Hope to see you soon.Kindest regards,Federica",2022-07-12 15:22:30,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=uk&pb=!1m2!1y5221366381814932679!2y14413144306206891518!2m2!1i10!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sdbjbYsMZj9uBBqfYgugE!7e81
14 Hills,"https://www.google.com/maps/place/14+Hills/@53.800651,-4.064941,6z/data=!3m1!4b1!4m5!3m4!1s0x4876050f6e3ee4c7:0xc805c661e3e7ddfe!8m2!3d51.512273!4d-0.0808058",14 Hills,794,4.3,49,38,65,154,488,Bozz AS,4,"Our experience at 14 Hills on the whole was a good one. Reservation was handled correctly, table was ready when we arrived. Service and attention was good. As for food the salad was disappointing as it was nothing special considering the cost for it. The fish dish was very good, tasty and well presented. One thing that could be improved is making sure both the plates and food arrives hot, ours was luke warm. The one major minus for this place is the level of sound. The music being played all thru the evening without a break had a decibel reading of 75 to almost 90 decibels. This made conversation across the table very difficult if not impossible furthermore continuous noise at this level is harmful to all ears so a warning to all especially for those with sensitive ears.",2021-11-07 23:26:53,"Dear Bozz,Thank you kindly for your honest feedback;We are sorry to hear that the salad wasn't to your liking and you found he music being too loud;We do take our guests feedback very seriously and this helps us very much to improve our food and standards of service moving forwardThank you once againbest wishes14 Hills team",2021-11-09 22:53:51,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=uk&pb=!1m2!1y5221366381814932679!2y14413144306206891518!2m2!1i10!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sdbjbYsMZj9uBBqfYgugE!7e81
14 Hills,"https://www.google.com/maps/place/14+Hills/@53.800651,-4.064941,6z/data=!3m1!4b1!4m5!3m4!1s0x4876050f6e3ee4c7:0xc805c661e3e7ddfe!8m2!3d51.512273!4d-0.0808058",14 Hills,794,4.3,49,38,65,154,488,Temi,2,"Quite a disappointing experience!We came to celebrate our wedding anniversary. Entrance is beautiful and the doorman downstairs even congratulated us. However once we got upstairs to the restaurant the reception made a mistake with our reservation time and gave our table away. Even though we came exactly on time for our booking, we had to sit at the bar and wait for table to become available. That just ruined it for us, as it was such a special moment and they didn’t even do anything to rectify their mistake. All we got was ‘sorry, that’s strange, do you mind waiting at the bar?’. Food was okay, service okay. Overall overpriced for the experience we had. So 1 star for the doorman downstairs, 1 star for the decor.",2021-08-18 23:01:21,None,None,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=uk&pb=!1m2!1y5221366381814932679!2y14413144306206891518!2m2!1i10!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sdbjbYsMZj9uBBqfYgugE!7e81
14 Hills,"https://www.google.com/maps/place/14+Hills/@53.800651,-4.064941,6z/data=!3m1!4b1!4m5!3m4!1s0x4876050f6e3ee4c7:0xc805c661e3e7ddfe!8m2!3d51.512273!4d-0.0808058",14 Hills,794,4.3,49,38,65,154,488,Pedro Duque,5,Great cocktails. Good and dessert up to par. Amazing view and great service. Loved it.,2022-04-25 15:46:00,None,None,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=uk&pb=!1m2!1y5221366381814932679!2y14413144306206891518!2m2!1i10!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sdbjbYsMZj9uBBqfYgugE!7e81
28-50 Wine Workshop & Kitchen,"https://www.google.com/maps/place/28-50+Wine+Workshop+%26+Kitchen/@53.800651,-4.064941,6z/data=!4m5!3m4!1s0x487604b3349a37c1:0x9e3f34127548dcef!8m2!3d51.5163815!4d-0.1504676",28-50 Wine Workshop %26 Kitchen,500,4.3,10,17,50,160,263,Trina,2,"Food took FOREVER to be served. Arrived 12:15 eventually served our main at 13:25…The 50% lunch menu is great but not if other parts of a restaurant experience are lacking.Staff slow and with no sense of urgency.The wait to be offered a drink was far too long - was not a full restaurant at this point. The high top tables constantly knocked by staff working the back wall - really badly laid out space.Food was ok, nothing special.I’ve noticed that other similar reviews have had the response ‘the past 18 months have been challenging In hospitality’ but I’m exhausted by this excuse. If you want people to frequent your establishment at the same, if not inflated prices, and add a service charge then it’s up to you to provide the best experience.Customers can live without spending their hard earned cash at restaurants, but restaurants need customers to survive.",2022-01-26 22:11:46,None,None,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=uk&pb=!1m2!1y5221365985710847937!2y11402890035407150319!2m2!1i00!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sl7jbYuG4LNDqgQbT3rbgBQ!7e81
28-50 Wine Workshop & Kitchen,"https://www.google.com/maps/place/28-50+Wine+Workshop+%26+Kitchen/@53.800651,-4.064941,6z/data=!4m5!3m4!1s0x487604b3349a37c1:0x9e3f34127548dcef!8m2!3d51.5163815!4d-0.1504676",28-50 Wine Workshop %26 Kitchen,500,4.3,10,17,50,160,263,David Paterson,3,"Have been going here for a while. Disappointing that they don’t have the set menu on the weekend anymore. Food was tasty as always, although my steak today was more medium to well instead of Medium and the staff were not very helpful at all today. No thanks and goodbyes etc. would have second thoughts on returning now.",2022-04-10 16:09:53,None,None,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=uk&pb=!1m2!1y5221365985710847937!2y11402890035407150319!2m2!1i00!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sl7jbYuG4LNDqgQbT3rbgBQ!7e81
28-50 Wine Workshop & Kitchen,"https://www.google.com/maps/place/28-50+Wine+Workshop+%26+Kitchen/@53.800651,-4.064941,6z/data=!4m5!3m4!1s0x487604b3349a37c1:0x9e3f34127548dcef!8m2!3d51.5163815!4d-0.1504676",28-50 Wine Workshop %26 Kitchen,500,4.3,10,17,50,160,263,Tanja K,5,Fabulous restaurant with fabulous sommelier!We ordered a seafood platter which is more than recommended- super delicious and fresh and paired with champagne and white wine!For the main dish I ordered a meat - which was prepared perfectly and super delicious.Vibes and ambient were amazing!Definitely recommend it,2021-11-25 21:33:01,None,None,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=uk&pb=!1m2!1y5221365985710847937!2y11402890035407150319!2m2!1i00!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sl7jbYuG4LNDqgQbT3rbgBQ!7e81
28-50 Wine Workshop & Kitchen,"https://www.google.com/maps/place/28-50+Wine+Workshop+%26+Kitchen/@53.800651,-4.064941,6z/data=!4m5!3m4!1s0x487604b3349a37c1:0x9e3f34127548dcef!8m2!3d51.5163815!4d-0.1504676",28-50 Wine Workshop %26 Kitchen,500,4.3,10,17,50,160,263,Madelaine Warner,3,"We went for drinks before dinner. It was busy and clearly popular (even on a Monday, which is positive).We sat at a high table which had bag clips to keep valuables safe and off the floor (nice touch). But it did constantly feel like we were in the staff's thoroughfare for the place.The wine list was impressive but pricey. We ordered a bottle that ended up costing quite a lot. Service was really quite slow and the bottle was warm and not really ready for drinking. For all the staff rushing around it seemed hard to get their attention.I would have thought for somewhere priding itself on its wine it would have been more slick with wine ready to serve at the right temperature.I might go back if I were going to try eating there, out of the staff's route, and with more time for my wine to chill, but I won't be hurrying to do so.",2022-05-03 18:05:30,"Dear Madelaine,Thank you for your comments which are very helpful for us.We will look into where any improvements need to be made and will action them immediately.Regards,Ginny",2022-05-08 15:20:31,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=uk&pb=!1m2!1y5221365985710847937!2y11402890035407150319!2m2!1i00!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sl7jbYuG4LNDqgQbT3rbgBQ!7e81
28-50 Wine Workshop & Kitchen,"https://www.google.com/maps/place/28-50+Wine+Workshop+%26+Kitchen/@53.800651,-4.064941,6z/data=!4m5!3m4!1s0x487604b3349a37c1:0x9e3f34127548dcef!8m2!3d51.5163815!4d-0.1504676",28-50 Wine Workshop %26 Kitchen,500,4.3,10,17,50,160,263,Jean-Paul Frenett,3,"Expensive, nearly excellent, but ultimately fails at the essentials.Slow service; starter forgotten, first food took 95 minutes.Inconsistent; starter forgotten, drinks forgotten, generally inattentive through understaffing.Food; hits and misses. Artichoke and buratta a hit, duck rillette a total miss. Lamb hit, burger Miss.The bill; extra bottle of wine added we didn’t drink.",2021-09-24 16:44:46,"Dear Jean-Paul,In 2016 the UK public voted for hospitality workers to return to their home country. 5 years on and that is just what has happened...Every restaurant in London is currently significantly under-staffed, yet still needs to keep up with the same amount of clients as they usually would take. It is not a surprise that the level of service across all restaurants has decreased accordingly.We are genuinely sorry if you believe we failed at the essentials, we hope you try us again in the future. Please get in touch with me via call, we would like to make it up to you.Kind regards,Ginny",2021-09-29 16:59:00,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=uk&pb=!1m2!1y5221365985710847937!2y11402890035407150319!2m2!1i00!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sl7jbYuG4LNDqgQbT3rbgBQ!7e81
